emp_no,birth_date,first_name,last_name,gender,hire_date
12015,1954-08-26,Kensei,Guenter,M,1999-01-04
12550,1957-09-16,Shawna,Marzano,M,1999-01-04
13940,1961-10-22,Leon,Servieres,F,1999-01-08
14109,1954-08-28,Vesna,Haldar,M,1999-01-08
15596,1961-11-22,Bedir,Baba,M,1999-01-09
24530,1953-05-28,Shen,Bhattacharjee,F,1999-01-07
26353,1955-05-03,Avishai,Alameldin,F,1999-01-07
29452,1960-10-15,Ewing,Nourani,M,1999-01-01
36381,1952-05-26,Chrisa,Auyong,M,1999-01-09
48703,1955-01-17,Toshiko,Zykh,M,1999-01-09
49282,1960-11-22,Hongzue,Auria,F,1999-01-01
66006,1959-02-14,Paddy,Curless,F,1999-01-07
69296,1958-02-20,Werner,McFarlan,M,1999-01-09
73544,1952-07-27,Kazuhiro,Piancastelli,F,1999-01-09
77878,1955-10-27,Jahangir,Fujisawa,M,1999-01-08
78107,1961-07-18,Mikhail,Trumbly,F,1999-01-04
82372,1954-05-24,Yinlin,Magalhaes,M,1999-01-08
82985,1954-12-02,Caolyn,Usdin,M,1999-01-04
87870,1953-11-22,Yucai,Cmelik,F,1999-01-05
93188,1963-06-15,Roded,Angot,M,1999-01-04
93223,1960-10-10,Vishwani,Templeman,F,1999-01-08
99075,1961-08-14,Filipp,Covnot,M,1999-01-02
100199,1962-11-16,Vasiliy,Veccia,M,1999-01-08
108961,1962-11-13,Jianhua,Piveteau,F,1999-01-02
202026,1953-05-31,Maria,Peternell,M,1999-01-08
207488,1963-01-13,Remco,Peternell,F,1999-01-08
207918,1960-12-21,Chuanti,Lores,M,1999-01-09
212756,1957-10-22,Chuanti,Shrader,M,1999-01-04
213657,1961-08-23,Yuqun,Melton,F,1999-01-01
228710,1963-10-10,Premal,Krogh,F,1999-01-09
246740,1955-06-18,Kersti,Einsfeld,M,1999-01-09
259222,1960-08-01,Duke,Ramsey,F,1999-01-02
270817,1958-03-06,Arra,Petersohn,F,1999-01-09
272152,1964-04-30,Randi,Chvatal,M,1999-01-04
272237,1960-02-11,Hercules,Setiz,M,1999-01-09
278994,1962-02-01,Zine,Simmel,F,1999-01-09
281659,1962-02-10,Abdelwaheb,Smeets,F,1999-01-07
284733,1952-11-28,Kirk,Whitcomb,F,1999-01-06
287095,1962-11-04,Hilari,Asrin,F,1999-01-05
287710,1963-04-17,Demos,Michaels,F,1999-01-05
299179,1963-12-31,Oldrich,Luit,M,1999-01-05
402850,1955-03-29,Edwin,Journel,F,1999-01-02
403086,1963-04-03,Gunilla,Serot,M,1999-01-09
404629,1964-02-10,Bogdan,Zockler,M,1999-01-04
410463,1963-01-07,Masoud,Tempesti,F,1999-01-05
411668,1953-05-19,Tetsushi,Anguita,M,1999-01-03
412679,1959-05-08,Gal,Sullins,M,1999-01-02
417434,1957-03-30,Ranan,Pena,F,1999-01-05
418787,1963-08-03,Tsuneo,Litvinov,M,1999-01-06
423908,1963-07-18,Breannda,Heinisuo,M,1999-01-03
424818,1955-05-04,Brigham,Berendt,M,1999-01-03
427126,1955-09-23,Remko,Serra,F,1999-01-03
429501,1961-06-01,Lalit,Showalter,M,1999-01-09
430225,1953-08-11,Arif,Heemskerk,F,1999-01-05
436563,1962-09-29,Nahid,Neiman,M,1999-01-09
443516,1957-05-25,Martina,Hellwagner,F,1999-01-01
453324,1963-05-10,Mayuko,Morrow,M,1999-01-04
454981,1959-01-21,Danae,Soloway,F,1999-01-08
455252,1961-08-25,Muzhong,Larfeldt,F,1999-01-05
466031,1954-03-18,Angel,Luks,M,1999-01-06
472749,1958-02-11,Supot,Nittel,M,1999-01-02
473788,1961-10-07,Eben,Benaini,F,1999-01-01
480449,1953-10-11,Atreye,Potthoff,M,1999-01-05
486959,1956-04-13,Fei,Cunliffe,F,1999-01-05
489643,1960-08-16,Abdelaziz,Jahnichen,F,1999-01-02
498084,1962-02-19,Younwoo,Picco,M,1999-01-01
